Filename,Year,Age,AgeClass,Country Code,Country Name,World Region,Balanced Region,Size,Mean Color,Variance
2019_6-9_0272_KOR_R_C.jpg,2019,6-9,2,KOR,"Korea, Republic of",Eastern Asia,Eastern Asia,"(746, 1064)",[94.77552208 98.52752651 63.81183228],4327.803402394658
2019_6-9_0283_KOR_R_C.jpg,2019,6-9,2,KOR,"Korea, Republic of",Eastern Asia,Eastern Asia,"(814, 1170)",[ 78.71293391 108.44923875  37.79431634],4329.544174238102
2019_6-9_0273_KOR_R_C.jpg,2019,6-9,2,KOR,"Korea, Republic of",Eastern Asia,Eastern Asia,"(1079, 766)",[ 95.94680429 100.66968739  79.73792821],5272.454158835069
2019_6-9_0277_KOR_R_C.jpg,2019,6-9,2,KOR,"Korea, Republic of",Eastern Asia,Eastern Asia,"(822, 1165)",[103.00514395 114.77844679  81.80206865],5275.3810301195435
2019_6-9_0278_KOR_R_C.jpg,2019,6-9,2,KOR,"Korea, Republic of",Eastern Asia,Eastern Asia,"(816, 1160)",[ 90.62413793 100.92340792  88.12320297],5754.837812816144
2019_6-9_0279_KOR_R_C.jpg,2019,6-9,2,KOR,"Korea, Republic of",Eastern Asia,Eastern Asia,"(752, 1048)",[133.30992925 143.44315921 109.83020977],5625.486934716532
2019_6-9_0275_KOR_R_C.jpg,2019,6-9,2,KOR,"Korea, Republic of",Eastern Asia,Eastern Asia,"(810, 1156)",[116.98089517  93.65314409  70.02279679],2867.950878086119
2019_6-9_0259_IDN_R_C.jpg,2019,6-9,2,IDN,Indonesia,Southeast Asia and Micronesia,Southeast Asia and Micronesia,"(899, 1254)",[87.0665643  86.29500615 47.20856064],3977.0010506284543
2019_6-9_0265_IDN_R_C.jpg,2019,6-9,2,IDN,Indonesia,Southeast Asia and Micronesia,Southeast Asia and Micronesia,"(909, 1267)",[104.66488756 109.8335491   64.30361647],5361.321632869388
2019_6-9_0263_IDN_R_C.jpg,2019,6-9,2,IDN,Indonesia,Southeast Asia and Micronesia,Southeast Asia and Micronesia,"(903, 1246)",[114.9836109  102.30987399  56.44572399],5199.831202839575
2019_6-9_0264_IDN_R_C.jpg,2019,6-9,2,IDN,Indonesia,Southeast Asia and Micronesia,Southeast Asia and Micronesia,"(911, 1262)",[165.46549394 106.27508128  52.95077334],7516.9177843892
